rgb_name,pano_name,label_name,num_circles,gps_coordinates,cities,country_codes,countries,cluster_id
000f527d366c24e3f0d87e7baf5847f7_MUL.png,000f527d366c24e3f0d87e7baf5847f7_PAN.png,000f527d366c24e3f0d87e7baf5847f7_PAN_mask.png,1,"[[[-3.698868063382869], [-38.57958324377921]]]",Fortaleza,BR,Brazil,3
003580d9b1e88aa1191734ec71a3a78c_MUL.png,003580d9b1e88aa1191734ec71a3a78c_PAN.png,003580d9b1e88aa1191734ec71a3a78c_PAN_mask.png,1,"[[[10.49460445274697], [-66.83473777184257]]]",Los Dos Caminos,VE,"Venezuela, Bolivarian Republic of",4
003e45460a331abb8624e62c6746c088_MUL.png,003e45460a331abb8624e62c6746c088_PAN.png,003e45460a331abb8624e62c6746c088_PAN_mask.png,1,"[[[-7.881449075991218], [-34.82702264673303]]]",Paulista,BR,Brazil,0
0044f18fb09548e3a98b23d61d373e1d_MUL.png,0044f18fb09548e3a98b23d61d373e1d_PAN.png,0044f18fb09548e3a98b23d61d373e1d_PAN_mask.png,8,"[[[50.455590665868726], [30.522680941632483]], [[50.45561619611719], [30.522874162401756]], [[50.455592927363284], [30.52178184582513]], [[50.45567366124045], [30.52255584603102]], [[50.4557017607606], [30.52286969126648]], [[50.45569890624151], [30.522735664373965]], [[50.45578489906372], [30.522751297044422]], [[50.45579074360407], [30.52262352412393]]]",Kiev,UA,Ukraine,1
00464d3a7df4b98dea66bed12915ef6e_MUL.png,00464d3a7df4b98dea66bed12915ef6e_PAN.png,00464d3a7df4b98dea66bed12915ef6e_PAN_mask.png,2,"[[[36.774583867870305], [34.546161622420875]], [[36.774972742027906], [34.546655227632286]]]",Mezitli,TR,Turkey,3
0058ec3f8bf96495bad5a494a4566894_MUL.png,0058ec3f8bf96495bad5a494a4566894_PAN.png,0058ec3f8bf96495bad5a494a4566894_PAN_mask.png,1,"[[[49.980041161645374], [36.20905256396547]]]",Kharkiv,UA,Ukraine,1
005e8c8dfa96d9b549de945ebdea425a_MUL.png,005e8c8dfa96d9b549de945ebdea425a_PAN.png,005e8c8dfa96d9b549de945ebdea425a_PAN_mask.png,1,"[[[30.530439283966942], [38.23102582917879]]]",Tubarjal,SA,Saudi Arabia,6
005fdf18b51be36275e7600795daced5_MUL.png,005fdf18b51be36275e7600795daced5_PAN.png,005fdf18b51be36275e7600795daced5_PAN_mask.png,9,"[[[30.467584068960946], [38.154468769088616]], [[30.467695410353215], [38.15428068912913]], [[30.46782922863626], [38.1540872167482]], [[30.467858668014212], [38.15446119911631]], [[30.467962945476057], [38.153878151498965]], [[30.468017187460266], [38.15460536643351]], [[30.468153081903463], [38.154037637972195]], [[30.468087504021934], [38.15433967403285]]]",Tubarjal,SA,Saudi Arabia,6
006444bdfcc47f3fccf4974fb92a1126_MUL.png,006444bdfcc47f3fccf4974fb92a1126_PAN.png,006444bdfcc47f3fccf4974fb92a1126_PAN_mask.png,1,"[[[-15.62265700700731], [-47.66188882755896]]]",Planaltina,BR,Brazil,4
006c4d7b0d3d8d7db82c8d0f3b42e299_MUL.png,006c4d7b0d3d8d7db82c8d0f3b42e299_PAN.png,006c4d7b0d3d8d7db82c8d0f3b42e299_PAN_mask.png,7,"[[[30.500125420081883], [38.212348661027534]], [[30.50014667441163], [38.2121405102981]], [[30.50026571135633], [38.21246711890945]], [[30.500291499507178], [38.21226413086018]], [[30.500303749258144], [38.212056052345375]], [[30.500427288637653], [38.21238262509202]], [[30.500448574431623], [38.21217967297367]]]",Tubarjal,SA,Saudi Arabia,6
